year,statefips,date1,ozone
2011,56,05jan2011,45.075489
2011,1,06jan2011,35.674942
2011,4,06jan2011,24.215897
2011,5,06jan2011,38.754604
2011,6,06jan2011,17.58806
2011,8,06jan2011,37.985195
2011,9,06jan2011,25.538101
2011,10,06jan2011,25.388142
2011,11,06jan2011,23.212444
2011,12,06jan2011,38.042252
2011,13,06jan2011,36.424961
2011,16,06jan2011,31.281954
2011,17,06jan2011,27.039326
2011,18,06jan2011,28.46957
2011,19,06jan2011,32.363548
2011,20,06jan2011,35.568638
2011,21,06jan2011,33.085064
2011,22,06jan2011,41.779037
2011,23,06jan2011,35.805023
2011,24,06jan2011,24.570347
2011,25,06jan2011,30.973021
2011,26,06jan2011,28.665297
2011,27,06jan2011,25.964006
2011,28,06jan2011,39.014214
2011,29,06jan2011,28.622009
2011,30,06jan2011,37.952332
2011,31,06jan2011,35.718128
2011,32,06jan2011,22.550346
2011,33,06jan2011,34.557983
2011,34,06jan2011,21.091591
2011,35,06jan2011,38.064201
2011,36,06jan2011,21.304548
2011,37,06jan2011,34.506699
2011,38,06jan2011,32.19529
2011,39,06jan2011,26.90469
2011,40,06jan2011,38.951702
2011,41,06jan2011,14.589353
2011,42,06jan2011,26.993053
2011,44,06jan2011,32.217487
2011,45,06jan2011,31.47049
2011,46,06jan2011,38.440689
2011,47,06jan2011,36.93755
2011,48,06jan2011,36.628693
2011,49,06jan2011,25.092352
2011,50,06jan2011,36.127411
2011,51,06jan2011,31.532539
2011,53,06jan2011,20.191893
2011,54,06jan2011,36.44241
2011,55,06jan2011,30.910683
2011,56,06jan2011,44.240597
2011,1,07jan2011,41.335083
2011,4,07jan2011,28.585541
2011,5,07jan2011,35.454056
2011,6,07jan2011,17.352369
2011,8,07jan2011,34.301796
2011,9,07jan2011,28.726114
2011,10,07jan2011,24.848452
2011,11,07jan2011,28.614775
2011,12,07jan2011,44.235889
2011,13,07jan2011,39.570213
2011,16,07jan2011,31.093674
2011,17,07jan2011,27.519463
2011,18,07jan2011,25.49457
2011,19,07jan2011,35.938229
2011,20,07jan2011,37.138596
2011,21,07jan2011,30.855684
2011,22,07jan2011,45.394806
2011,23,07jan2011,33.725262
2011,24,07jan2011,30.18228
2011,25,07jan2011,29.327885
2011,26,07jan2011,25.17137
2011,27,07jan2011,31.553669
