year,statefips,countyfips,month,ozone
2011,13,13013,1,32.090755
2011,13,13015,1,33.432415
2011,13,13017,1,35.151291
2011,13,13019,1,35.194969
2011,13,13021,1,33.137402
2011,13,13023,1,34.723492
2011,13,13025,1,35.572292
2011,13,13027,1,35.80423
2011,13,13029,1,33.905346
2011,13,13031,1,34.096111
2011,13,13033,1,33.84436
2011,13,13035,1,33.286278
2011,13,13037,1,35.614029
2011,13,13039,1,36.705997
2011,13,13043,1,34.335648
2011,13,13045,1,35.053352
2011,13,13047,1,33.5769
2011,13,13049,1,36.066296
2011,13,13051,1,32.903091
2011,13,13053,1,35.151333
2011,13,13055,1,35.415047
2011,13,13057,1,33.003735
2011,13,13059,1,32.767887
2011,13,13061,1,35.935562
2011,13,13063,1,29.844072
2011,13,13065,1,35.845707
2011,13,13067,1,31.166737
2011,13,13069,1,35.489651
2011,13,13071,1,35.771198
2011,13,13073,1,32.720406
2011,13,13075,1,35.055473
2011,13,13077,1,34.167755
2011,13,13079,1,34.822117
2011,13,13081,1,34.630398
2011,13,13083,1,35.39999
2011,13,13085,1,36.207832
2011,13,13087,1,35.68084
2011,13,13089,1,28.89929
2011,13,13091,1,34.641384
2011,13,13093,1,34.552399
2011,13,13095,1,34.762569
2011,13,13097,1,33.032513
2011,13,13099,1,35.684616
2011,13,13101,1,36.145454
2011,13,13103,1,33.799427
2011,13,13105,1,33.925121
2011,13,13107,1,34.362629
2011,13,13109,1,34.502987
2011,13,13111,1,39.199924
2011,13,13113,1,32.72607
2011,13,13115,1,34.204517
2011,13,13117,1,33.39064
2011,13,13119,1,34.186878
2011,13,13121,1,29.694853
2011,13,13123,1,37.932846
2011,13,13125,1,34.298279
2011,13,13127,1,36.625378
2011,13,13129,1,34.228848
2011,13,13131,1,35.985786
2011,13,13133,1,33.9734
2011,13,13135,1,30.49847
2011,13,13137,1,36.880577
2011,13,13139,1,34.06181
2011,13,13141,1,34.194084
2011,13,13143,1,35.438595
2011,13,13145,1,35.51141
2011,13,13147,1,33.949432
2011,13,13149,1,35.583614
2011,13,13151,1,30.874393
2011,13,13153,1,33.67733
2011,13,13155,1,35.204369
2011,13,13157,1,32.95089
2011,13,13159,1,33.534752
2011,13,13161,1,35.277367
2011,13,13163,1,34.178844
2011,13,13165,1,34.107445
2011,13,13167,1,34.408981
2011,13,13169,1,33.552135
2011,13,13171,1,34.795849
2011,13,13173,1,35.423237
2011,13,13175,1,34.256676
2011,13,13177,1,34.956505
2011,13,13179,1,34.362576
2011,13,13181,1,34.202461
2011,13,13183,1,34.496758
2011,13,13185,1,35.117275
2011,13,13187,1,37.473007
2011,13,13189,1,33.857121
2011,13,13191,1,35.969822
2011,13,13193,1,35.027836
2011,13,13195,1,33.350334
2011,13,13197,1,35.80262
2011,13,13199,1,35.808975
2011,13,13201,1,35.603214
2011,13,13205,1,35.714359
2011,13,13207,1,34.065674
2011,13,13209,1,35.047138
2011,13,13211,1,33.270554
2011,13,13213,1,35.995205
2011,13,13215,1,34.487465
2011,13,13217,1,31.650864
2011,13,13219,1,32.881077
2011,13,13221,1,33.776215
2011,13,13223,1,33.434334
2011,13,13225,1,34.274628
2011,13,13227,1,36.426472
2011,13,13229,1,34.59763
2011,13,13231,1,35.485729
2011,13,13233,1,34.93932
2011,13,13235,1,34.603802
2011,13,13237,1,33.947311
2011,13,13239,1,35.500801
2011,13,13241,1,38.724201
2011,13,13243,1,35.69054
2011,13,13245,1,32.187748
2011,13,13247,1,30.357767
2011,13,13249,1,35.605709
2011,13,13251,1,34.318916
2011,13,13253,1,35.656796
2011,13,13255,1,34.028351
2011,13,13257,1,35.928604
2011,13,13259,1,35.79147
2011,13,13261,1,35.357777
2011,13,13263,1,35.879147
2011,13,13265,1,34.130695
2011,13,13267,1,34.905602
2011,13,13269,1,35.383804
2011,13,13271,1,35.028488
2011,13,13273,1,35.339516
2011,13,13275,1,36.063896
2011,13,13277,1,34.985428
2011,13,13279,1,35.060734
2011,13,13281,1,39.421154
2011,13,13283,1,34.55283
2011,13,13285,1,35.204765
2011,13,13287,1,34.855247
2011,13,13289,1,34.265289
2011,13,13291,1,39.25676
2011,13,13293,1,35.621193
2011,13,13295,1,34.555687
2011,13,13297,1,31.690134
2011,13,13299,1,34.828682
2011,13,13301,1,34.11375
2011,13,13303,1,34.414806
2011,13,13305,1,34.584091
2011,13,13307,1,35.840412
2011,13,13309,1,34.883099
2011,13,13311,1,37.603531
2011,13,13313,1,34.341377
2011,13,13315,1,34.769348
2011,13,13317,1,34.216694
2011,13,13319,1,34.482624
2011,13,13321,1,35.290092
2011,16,16001,1,28.182901
2011,16,16003,1,32.119183
2011,16,16005,1,37.767128
2011,16,16007,1,39.409039
2011,16,16009,1,30.321133
2011,16,16011,1,38.64711
2011,16,16013,1,41.096634
2011,16,16015,1,34.972263
2011,16,16017,1,28.686052
2011,16,16019,1,38.047642
2011,16,16021,1,30.589174
2011,16,16023,1,39.74073
2011,16,16025,1,38.237152
2011,16,16027,1,26.432177
2011,16,16029,1,40.018303
2011,16,16031,1,36.302284
2011,16,16033,1,38.748005
2011,16,16035,1,29.328438
2011,16,16037,1,38.768803
2011,16,16039,1,33.46624
2011,16,16041,1,36.275379
2011,16,16043,1,39.395508
2011,16,16045,1,29.325054
2011,16,16047,1,34.925068
2011,16,16049,1,31.86861
2011,16,16051,1,37.666843
2011,16,16053,1,34.981483
2011,16,16055,1,28.130966
2011,16,16057,1,30.403639
2011,16,16059,1,36.551979
2011,16,16061,1,30.932983
2011,16,16063,1,37.330254
2011,16,16065,1,38.204052
2011,16,16067,1,36.543549
2011,16,16069,1,30.253691
2011,16,16071,1,35.872337
2011,16,16073,1,31.254786
2011,16,16075,1,27.339767
2011,16,16077,1,38.287148
2011,16,16079,1,29.959642
2011,16,16081,1,41.617573
2011,16,16083,1,34.751842
2011,16,16085,1,34.642166
2011,16,16087,1,30.560299
2011,17,17001,1,31.948721
2011,17,17003,1,30.575397
2011,17,17005,1,30.56966
2011,17,17007,1,30.601231
2011,17,17009,1,32.125343
2011,17,17011,1,30.960878
2011,17,17013,1,31.290745
2011,17,17015,1,31.529346
2011,17,17017,1,31.898018
2011,17,17019,1,28.573093
2011,17,17021,1,30.367802
2011,17,17023,1,27.774101
2011,17,17025,1,29.347853
2011,17,17027,1,29.79282
2011,17,17029,1,28.416515
2011,17,17031,1,23.71439
2011,17,17033,1,27.816523
2011,17,17035,1,28.586895
2011,17,17037,1,30.898964
2011,17,17039,1,30.028826
2011,17,17041,1,28.075897
2011,17,17043,1,26.163801
2011,17,17045,1,27.773758
2011,17,17047,1,29.434816
2011,17,17049,1,29.081854
2011,17,17051,1,30.094622
2011,17,17053,1,30.225653
2011,17,17055,1,29.744627
2011,17,17057,1,31.074911
2011,17,17059,1,30.11928
2011,17,17061,1,32.029251
2011,17,17063,1,29.39641
2011,17,17065,1,30.007032
2011,17,17067,1,31.787994
2011,17,17069,1,30.509386
2011,17,17071,1,31.179142
2011,17,17073,1,30.456272
2011,17,17075,1,29.646101
2011,17,17077,1,30.046579
2011,17,17079,1,28.640665
2011,17,17081,1,29.512947
2011,17,17083,1,30.977076
2011,17,17085,1,31.431198
2011,17,17087,1,30.444115
2011,17,17089,1,29.032564
2011,17,17091,1,29.123409
2011,17,17093,1,29.304951
2011,17,17095,1,30.508944
2011,17,17097,1,29.904484
2011,17,17099,1,30.580021
2011,17,17101,1,28.310705
2011,17,17103,1,31.17333
2011,17,17105,1,30.684057
2011,17,17107,1,30.477016
2011,17,17109,1,31.711891
2011,17,17111,1,30.834208
2011,17,17113,1,30.391165
2011,17,17115,1,28.954739
2011,17,17117,1,31.539597
2011,17,17119,1,27.869234
2011,17,17121,1,29.653141
2011,17,17123,1,30.65159
2011,17,17125,1,31.353703
2011,17,17127,1,30.015356
2011,17,17129,1,31.659678
2011,17,17131,1,30.789188
2011,17,17133,1,28.133024
2011,17,17135,1,31.174263
2011,17,17137,1,32.085007
2011,17,17139,1,28.73518
2011,17,17141,1,31.343597
2011,17,17143,1,28.757793
2011,17,17145,1,29.991049
2011,17,17147,1,29.121679
2011,17,17149,1,32.103302
2011,17,17151,1,30.453941
2011,17,17153,1,30.694687
2011,17,17155,1,30.641701
2011,17,17157,1,29.422924
2011,17,17159,1,28.950243
2011,17,17161,1,29.436726
2011,17,17163,1,26.854979
2011,17,17165,1,30.280815
