year,statefips,date1,pm
2011,12,06jan2011,7.1303835
2011,13,06jan2011,10.317004
2011,16,06jan2011,21.503418
2011,17,06jan2011,13.713577
2011,18,06jan2011,14.849891
2011,19,06jan2011,13.290629
2011,20,06jan2011,5.2093291
2011,21,06jan2011,11.345071
2011,22,06jan2011,7.9619951
2011,23,06jan2011,8.9463577
2011,24,06jan2011,17.669182
2011,25,06jan2011,9.3998947
2011,26,06jan2011,15.870856
2011,27,06jan2011,14.988448
2011,28,06jan2011,8.5181093
2011,29,06jan2011,10.331737
2011,30,06jan2011,6.9818254
2011,31,06jan2011,7.219955
2011,32,06jan2011,14.853261
2011,33,06jan2011,9.7560444
2011,34,06jan2011,14.440792
2011,35,06jan2011,5.770165
2011,36,06jan2011,14.247746
2011,37,06jan2011,12.156257
2011,38,06jan2011,9.2780304
2011,39,06jan2011,19.047682
2011,40,06jan2011,4.6768312
2011,41,06jan2011,19.936752
2011,42,06jan2011,19.664404
2011,44,06jan2011,10.697184
2011,45,06jan2011,12.349659
2011,46,06jan2011,7.6693563
2011,47,06jan2011,8.843955
2011,48,06jan2011,9.0719948
2011,49,06jan2011,41.080715
2011,50,06jan2011,9.7547636
2011,51,06jan2011,13.187365
2011,53,06jan2011,10.567149
2011,54,06jan2011,11.813578
2011,55,06jan2011,13.995971
2011,56,06jan2011,5.6429691
2011,1,07jan2011,5.6102319
2011,4,07jan2011,13.908146
2011,5,07jan2011,5.5375609
2011,6,07jan2011,19.914967
2011,8,07jan2011,7.5389905
2011,9,07jan2011,15.757807
2011,10,07jan2011,18.23003
2011,11,07jan2011,11.884714
2011,12,07jan2011,6.9403787
2011,13,07jan2011,6.4348998
2011,16,07jan2011,34.371044
2011,17,07jan2011,10.506808
2011,18,07jan2011,10.611958
2011,19,07jan2011,9.7930155
2011,20,07jan2011,5.9532223
2011,21,07jan2011,10.594974
2011,22,07jan2011,7.2747464
2011,23,07jan2011,11.913763
2011,24,07jan2011,12.261545
2011,25,07jan2011,13.636631
2011,26,07jan2011,7.936789
2011,27,07jan2011,11.19342
2011,28,07jan2011,5.1558867
2011,29,07jan2011,10.01114
2011,30,07jan2011,19.18154
2011,31,07jan2011,7.877171
2011,32,07jan2011,23.429514
2011,33,07jan2011,12.10245
2011,34,07jan2011,20.320549
2011,35,07jan2011,6.8393016
2011,36,07jan2011,16.305813
2011,37,07jan2011,8.1930933
2011,38,07jan2011,11.698374
2011,39,07jan2011,12.796562
2011,40,07jan2011,3.8326514
2011,41,07jan2011,11.787124
2011,42,07jan2011,16.902575
2011,44,07jan2011,14.634478
2011,45,07jan2011,6.9100718
2011,46,07jan2011,9.9898214
2011,47,07jan2011,6.3744922
2011,48,07jan2011,9.6261721
2011,49,07jan2011,55.798637
2011,50,07jan2011,11.179097
2011,51,07jan2011,11.549181
2011,53,07jan2011,6.5019999
2011,54,07jan2011,10.919362
2011,55,07jan2011,8.9623299
2011,56,07jan2011,19.417315
2011,1,08jan2011,5.599452
2011,4,08jan2011,9.8887825
